brand,laptop_name,display_size,processor_type,graphics_card,disk_space,discount_price,old_price,rating
Asus,VivoBook 14 S430FN,14.0, Intel Core i5-8265U, NVIDIA GeForce MX150 (2 GB), 128 GB M.2 SSD/1 TB HDD,2599.0,3199.0,0
Huawei,MateBook X Pro,13.88, Intel Core i7-8550U, NVIDIA GeForce MX150 (2 GB), 512 GB SSD,6399.0,6999.0,0
HP,Pavilion 14-ce2003nx,14.0, Intel Core i7-8565U, NVIDIA GeForce MX250 (4 GB), 128 GB M.2 SSD/1 TB HDD,3249.0,3799.0,0
Asus,X543UB,15.6, Intel Core i7-8550U, NVIDIA GeForce MX110 (2 GB), 1 TB HDD,2499.0,2999.0,0
HP,Pavilion 14-ce2000nx,14.0, Intel Core i7-8565U, NVIDIA GeForce MX250 (4 GB), 256 GB NVMe M.2 SSD/1 TB HDD,3799.0,4299.0,0
HP,Pavilion 14-ce2001nx,14.0, Intel Core i7-8565U, NVIDIA GeForce MX250 (4 GB), 256 GB NVMe M.2 SSD/1 TB HDD,3799.0,4299.0,0
Lenovo,IdeaPad 330S-14IKB,14.0, Intel Core i5-8250U, Intel UHD Graphics 620, 256 GB (PCIe Flash),1999.0,2499.0,0
Asus,VivoBook S15 S530FN,15.6, Intel Core i7-8565U, NVIDIA GeForce MX150 (2 GB), 128 GB M.2 SSD/1 TB HDD,3499.0,3999.0,0
Asus,VivoBook 15 X512UB,15.6, Intel Core i5-8250U, NVIDIA GeForce MX110 (2 GB), 128 GB M.2 SSD/1 TB HDD,2399.0,2899.0,0
Asus,VivoBook 14 X412UB,14.0, Intel Core i5-8250U, NVIDIA GeForce MX110 (2 GB), 1 TB HDD,2299.0,2799.0,0
Asus,X507UB,15.6, Intel Core i5-8250U, NVIDIA GeForce MX110 (2 GB), 1 TB HDD,1999.0,2449.0,1
Asus,VivoBook 14 X412FJ,14.0, Intel Core i5-8265U, NVIDIA GeForce MX230 (2 GB), 128 GB SSD/1 TB HDD,2649.0,3099.0,0
Apple,MacBook,12.0, Intel Core M3, Intel HD Graphics 615, 256 GB SSD,5269.0,5669.0,1
Huawei,MateBook D,15.6, Intel Core i7-8550U, NVIDIA GeForce MX150 (2 GB), 128 GB SSD/1 TB HDD,2899.0,3299.0,1
Huawei,MateBook D,15.6, Intel Core i7-8550U, NVIDIA GeForce MX150 (2 GB), 128 GB SSD/1 TB HDD,2899.0,3299.0,1
Huawei,MateBook 13,13.0, Intel Core i7-8565U, Intel UHD Graphics 620, 512 GB SSD,3599.0,3999.0,1
Lenovo,IdeaPad S530,13.3, Intel Core i7-8565U, NVIDIA GeForce MX150 (2 GB), 512 GB NVMe M.2 SSD,3599.0,3999.0,0
Dell,XPS 13 9380,13.3, Intel Core i7-8565U, Intel UHD Graphics 620, 512 GB PCIe NVMe M.2 SSD,5999.0,6399.0,1
HP,15-da1019nx,15.6, Intel Core i7-8565U, NVIDIA GeForce MX130 (4 GB), 1 TB HDD,2749.0,3149.0,0
HP,15-da1003nx,15.6, Intel Core i7-8565U, NVIDIA GeForce MX130 (4 GB), 1 TB HDD,2749.0,3149.0,0
